device_id,gender,age,group,restDay,restNight,workDay,workNight,education,entertainment,finance,game,health,life,news,shopping,social,tools,travel,brand,geoLabel
4248604159924686976,0,1,1,1,9,5,6,0,0,21,0,0,0,0,0,0,0,0,0,1.0
5277106521637927710,0,1,1,11,8,7,9,0,0,35,70,0,0,0,0,0,0,0,8,-1.0
-7924701358100587813,0,0,0,4,0,1,1,0,0,48,6,0,6,0,0,0,6,0,1,1.0
3413338099744612180,1,1,3,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,-1.0
3714426142023854284,1,0,2,2,3,4,3,0,0,36,12,0,0,0,0,0,0,0,5,2.0
-6002920063297350332,0,1,1,4,0,21,16,0,0,837,38,0,38,0,0,0,79,0,5,8.0
-683426970034453356,1,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,-1.0
5631121902638630301,0,0,0,7,15,17,17,0,0,112,0,0,0,0,0,0,0,0,1,6.0
1505971092047432231,0,0,0,5,0,3,1,0,0,0,18,0,9,0,0,0,0,0,0,2.0
2701788131619319960,1,0,2,5,6,2,7,0,0,260,0,0,0,0,0,0,20,0,4,-1.0
6073942491942795729,0,1,1,1,0,0,0,0,0,8,1,0,0,0,0,0,1,0,8,-1.0
-3778054029514668538,1,0,2,0,1,2,0,0,0,3,6,0,0,0,0,0,0,0,1,8.0
-2970082391168041912,0,0,0,4,1,2,1,0,0,0,0,0,0,0,0,0,8,0,1,6.0
-1084174363886138500,0,0,0,4,11,20,18,0,0,53,53,0,0,53,0,0,0,0,9,1.0
-7891634125704908433,1,1,3,2,1,4,3,0,0,10,10,0,0,10,0,0,0,0,0,-1.0
-2059975897743449851,0,1,1,21,16,17,9,0,0,819,0,0,0,0,0,0,63,0,3,9.0
-3271942948432756010,0,0,0,11,7,0,0,0,0,18,18,0,0,18,0,0,0,0,0,0.0
4975315694947518652,0,1,1,2,0,5,1,0,0,24,8,0,0,0,0,0,0,0,9,-1.0
6295158950360506494,1,0,2,2,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,13.0
4075941473982616348,1,0,2,1,2,3,4,0,0,0,10,0,10,0,0,0,0,0,0,4.0
-688936662302830063,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,2,0,4,-1.0
-5831714141034983735,0,1,1,0,0,6,7,0,0,0,26,0,13,0,0,0,0,0,1,-1.0
3936194097142187270,1,0,2,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,-1.0
5879165715184316029,1,0,2,0,1,1,2,0,0,32,4,0,4,0,0,0,4,0,5,-1.0
2051933987144651432,0,0,0,1,1,13,5,0,40,0,0,0,0,0,0,20,0,0,1,15.0
-5116746877083139254,0,1,1,4,4,1,7,0,0,16,16,0,0,48,0,0,0,0,1,-1.0
7420214929087965257,0,1,1,1,2,1,1,0,0,5,5,0,0,5,0,0,0,0,2,-1.0
-3530650226457192230,0,1,1,3,1,4,5,0,0,25,25,0,0,39,0,0,0,0,1,-1.0
-7137702756536065950,0,0,0,1,0,1,0,0,2,2,2,0,0,0,0,0,0,0,5,-1.0
8558669035946686965,1,0,2,2,2,6,1,0,0,0,0,0,0,0,0,0,11,0,1,-1.0
4472209992057956386,1,1,3,2,1,0,7,0,0,10,10,0,0,10,0,0,0,0,0,4.0
-4479379906801594554,1,0,2,1,0,1,0,0,0,2,2,0,2,6,0,0,0,0,0,15.0
-8361796801002522756,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-1.0
-4943174699128422362,0,0,0,2,2,0,0,0,0,0,8,0,4,0,0,0,0,0,0,-1.0
-6850989222474767117,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,2,-1.0
6493546550930548893,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,9,-1.0
-232633539404695012,1,1,3,4,2,1,0,0,0,56,7,0,0,0,0,0,7,0,2,-1.0
6974795167155799338,0,0,0,2,1,18,1,0,0,22,0,0,0,0,0,0,22,0,3,-1.0
-7339705869208712471,0,1,1,26,0,27,2,0,0,55,55,0,0,165,0,0,0,0,8,-1.0
-7860912527530777428,1,0,2,1,0,0,0,0,0,1,2,0,0,0,0,1,0,0,9,-1.0
-1089770813215765981,0,1,1,1,0,2,0,0,3,3,3,0,0,0,0,0,0,0,4,-1.0
964915675871217692,0,0,0,3,2,2,4,0,0,11,11,0,0,33,0,0,0,0,4,-1.0
-1100152978957074817,0,0,0,1,0,0,0,0,0,13,0,0,0,0,0,0,1,0,0,0.0
35172350775627890,0,1,1,0,1,0,2,0,0,0,9,0,0,0,0,0,3,0,5,8.0
